x1,x01 (upper staff),x11 (lower staff),x21 (above staff),x31 (no pattern)
x02,0.231,0.666,0.455,0.4
x12 (curved right) ,0.365,0,0.091,0.2
x22 (curved left),0.026,0,0,0.033
x32 (both curved),0.173,0,0.182,0.162
x42 (no pattern),0.205,0.333,0.273,0.2
x04,0.737,1,0.727,0.567
x14 (lower staff) ,0.077,0,0.273,0.2
x24 (above staff) ,0.013,0,0,0
x34 (no pattern),0.173,0,0,0.233
x06,0.019,0,0,0
x16 (single stroke t) ,0.282,0.666,0.545,0.4
x26 (looped t) ,0.128,0.333,0.091,0.2
x36 (closed t),0.352,0,0.182,0.2
x46 (mixed shapes) ,0.218,0,0.182,0.2
